 1.000E-03   4.713E+01
 1.065E-03   4.512E+01
 1.134E-03   4.299E+01
 1.207E-03   4.077E+01
 1.285E-03   3.849E+01
 1.369E-03   3.618E+01
 1.457E-03   3.387E+01
 1.552E-03   3.158E+01
 1.652E-03   2.933E+01
 1.759E-03   2.714E+01
 1.873E-03   2.502E+01
 1.995E-03   2.298E+01
 2.124E-03   2.103E+01
 2.262E-03   1.916E+01
 2.408E-03   1.739E+01
 2.564E-03   1.571E+01
 2.730E-03   1.413E+01
 2.907E-03   1.264E+01
 3.095E-03   1.123E+01
 3.296E-03   9.917E+00
 3.510E-03   8.688E+00
 3.737E-03   7.541E+00
 3.979E-03   6.476E+00
 4.237E-03   5.492E+00
 4.511E-03   4.589E+00
 4.804E-03   3.769E+00
 5.115E-03   3.033E+00
 5.446E-03   2.383E+00
 5.799E-03   1.822E+00
 6.175E-03   1.350E+00
 6.575E-03   9.663E-01
 7.001E-03   6.658E-01
 7.454E-03   4.408E-01
 7.937E-03   2.804E-01
 8.451E-03   1.715E-01
 8.999E-03   1.013E-01
 9.582E-03   5.800E-02
 1.020E-02   3.240E-02
 1.086E-02   1.778E-02
 1.157E-02   9.649E-03
 1.232E-02   5.213E-03
 1.311E-02   2.822E-03
 1.396E-02   1.539E-03
 1.487E-02   8.500E-04
 1.583E-02   4.771E-04
 1.686E-02   2.730E-04
 1.795E-02   1.596E-04
 1.911E-02   9.543E-05
 2.035E-02   5.844E-05
 2.167E-02   3.669E-05
 2.307E-02   2.365E-05
 2.457E-02   1.568E-05
 2.616E-02   1.070E-05
 2.785E-02   7.521E-06
 2.966E-02   5.424E-06
 3.158E-02   3.992E-06
 3.363E-02   2.980E-06
 3.581E-02   2.257E-06
 3.813E-02   1.750E-06
 4.060E-02   1.415E-06
 4.323E-02   1.221E-06
 4.603E-02   1.149E-06
 4.901E-02   1.202E-06
 5.218E-02   1.425E-06
 5.556E-02   1.935E-06
 5.916E-02   2.968E-06
 6.300E-02   4.962E-06
 6.708E-02   8.703E-06
 7.142E-02   1.555E-05
 7.605E-02   2.780E-05
 8.098E-02   4.918E-05
 8.622E-02   8.550E-05
 9.181E-02   1.455E-04
 9.776E-02   2.418E-04
 1.041E-01   3.921E-04
 1.108E-01   6.206E-04
 1.180E-01   9.586E-04
 1.257E-01   1.446E-03
 1.338E-01   2.133E-03
 1.425E-01   3.077E-03
 1.517E-01   4.347E-03
 1.615E-01   6.020E-03
 1.720E-01   8.181E-03
 1.831E-01   1.092E-02
 1.950E-01   1.433E-02
 2.076E-01   1.851E-02
 2.211E-01   2.354E-02
 2.354E-01   2.952E-02
 2.507E-01   3.652E-02
 2.669E-01   4.461E-02
 2.842E-01   5.384E-02
 3.026E-01   6.425E-02
 3.222E-01   7.587E-02
 3.431E-01   8.869E-02
 3.653E-01   1.027E-01
 3.890E-01   1.179E-01
 4.142E-01   1.342E-01
 4.410E-01   1.516E-01
 4.696E-01   1.700E-01
 5.000E-01   1.893E-01
